Last Avg Tensiometer,Predicted Avg Tensiometer,Predicted Rain Amount,Predicted Max Temperature,Decision
454,715,12,32,Not Recommended
509,410,2,33,Not Recommended
627,509,7,31,Not Recommended
580,681,2,28,Not Recommended
707,514,0,28,Not Recommended
785,326,12,26,Not Recommended
624,449,17,31,Single Turn
624,522,1,27,Single Turn
766,380,2,26,Single Turn
663,557,4,30,Single Turn
250,578,2,21,Not Recommended
619,503,0,28,Single Turn
470,467,15,19,Half Turn
753,837,18,36,Not Recommended
538,398,31,26,Not Recommended
596,559,25,27,Single Turn
677,453,1,19,Single Turn
673,320,22,31,Single Turn
624,618,24,24,Not Recommended
473,474,3,22,Not Recommended
494,553,-1,28,Half Turn
541,651,20,22,Not Recommended
679,555,14,22,Single Turn
526,251,3,33,Double Turn
777,496,-6,26,Not Recommended
494,739,10,27,Half Turn
728,417,10,26,Not Recommended
680,437,2,26,Single Turn
601,137,1,35,Double Turn
546,328,1,27,Double Turn
478,594,21,27,Half Turn
699,294,-3,28,Half Turn
626,788,2,20,Double Turn
440,577,3,29,Not Recommended
540,689,2,25,Not Recommended
370,701,13,33,Not Recommended
813,479,23,24,Not Recommended
535,311,21,25,Not Recommended
606,863,1,29,Not Recommended
445,524,-2,22,Not Recommended
716,398,1,30,Half Turn
545,372,27,30,Single Turn
626,310,0,28,Double Turn
552,442,18,27,Single Turn
455,411,23,29,Single Turn
583,433,1,29,Half Turn
638,560,0,28,Half Turn
366,292,21,31,Half Turn
384,657,2,30,Not Recommended
397,579,2,38,Half Turn
602,688,1,34,Half Turn
480,407,30,22,Not Recommended
754,464,8,28,Double Turn
697,478,17,23,Not Recommended
688,157,7,25,Single Turn
584,446,21,29,Not Recommended
509,648,23,31,Single Turn
718,62,-1,30,Not Recommended
654,684,30,22,Double Turn
679,426,1,29,Not Recommended
645,435,-1,31,Single Turn
586,741,0,21,Half Turn
610,443,23,26,Not Recommended
778,736,0,21,Single Turn
404,302,2,38,Single Turn
315,322,3,26,Not Recommended
724,581,1,23,Half Turn
686,85,27,28,Single Turn
430,38,3,27,Not Recommended
452,480,0,25,Half Turn
464,747,3,26,Half Turn
531,755,10,26,Not Recommended
733,675,6,24,Double Turn
224,407,24,23,Half Turn
709,396,3,17,Single Turn
623,424,2,32,Half Turn
683,442,29,28,Half Turn
474,595,-1,30,Single Turn
704,553,28,27,Half Turn
337,769,11,27,Single Turn
799,628,2,27,Half Turn
766,629,2,25,Not Recommended
641,439,0,30,Not Recommended
405,378,0,29,Not Recommended
346,746,1,26,Not Recommended
500,376,28,24,Single Turn
741,502,10,25,Half Turn
643,350,3,26,Single Turn
747,519,3,27,Not Recommended
523,684,-8,22,Double Turn
802,444,2,30,Not Recommended
658,595,-6,20,Single Turn
470,729,2,27,Single Turn
298,521,14,27,Single Turn
576,381,2,30,Double Turn
729,476,3,23,Not Recommended
576,768,1,29,Single Turn
342,717,15,29,Half Turn
724,677,1,25,Half Turn
635,766,18,24,Single Turn
768,583,-1,27,Single Turn
347,-29,2,31,Not Recommended
545,444,3,28,Not Recommended
342,284,2,29,Single Turn
723,330,17,32,Half Turn
533,508,3,29,Half Turn
693,359,1,26,Half Turn
518,828,2,34,Half Turn
699,749,2,26,Not Recommended
564,349,9,28,Single Turn
591,521,1,28,Double Turn
705,701,-3,27,Not Recommended
476,209,10,24,Not Recommended
384,516,1,34,Double Turn
424,741,2,28,Not Recommended
695,465,2,22,Single Turn
708,403,28,27,Half Turn
351,630,18,36,Not Recommended
742,1,29,26,Single Turn
624,548,16,23,Not Recommended
638,519,9,27,Single Turn
719,547,31,26,Not Recommended
304,528,28,32,Half Turn
703,463,0,23,Not Recommended
446,631,13,30,Not Recommended
627,497,18,28,Single Turn
792,422,22,25,Not Recommended
689,552,0,26,Single Turn
571,677,26,26,Not Recommended
822,705,2,28,Half Turn
407,665,25,24,Not Recommended
459,565,15,34,Not Recommended
750,432,23,31,Single Turn
695,311,8,20,Half Turn
564,665,3,27,Not Recommended
613,267,0,36,Not Recommended
509,580,-1,30,Single Turn
676,388,23,25,Not Recommended
646,662,2,25,Half Turn
702,719,-2,28,Single Turn
582,499,3,33,Half Turn
618,372,18,27,Half Turn
